id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid0TDmqkDgBcsojrxCiUehGgNmMk9TXvXUzNmir6wQF6zoHkkLrMps5VsHQ2aLakwMml,Creamier Handcrafted Ice Cream and Coffee,0,0,0,0,0,0,0,0,0,0,"Ice Cream + Waffles - a true soul mate pairing The way our golden Belgian waffles are made and freshly baked - the golden crispy crust and soft fluffy honeycomb texture inside - it's the perfect combination with our creamy ice creams. All made fresh in-house from scratch with real quality ingredients. No preservatives, no nasties.#SoGoodSoFresh #Creamier #IceCream #Waffles #ProudlyMadeInSingapore #Singapore #MadeWithPassion",2023-10-21T11:06:11.495019,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/394701899_714959367327103_3747702171789570647_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=mbH9iRrX4pIAX8FFyB2&_nc_ht=scontent.fsin16-1.fna&oh=00_AfDkoZ8qV5sQ0fwbbQANTLUies5CR_bhgd--zDfffP_Acg&oe=6538A1ED,https://www.facebook.com/creamier.singapore/posts/pfbid0TDmqkDgBcsojrxCiUehGgNmMk9TXvXUzNmir6wQF6zoHkkLrMps5VsHQ2aLakwMml?__cft__[0]=AZXqAS_pvolIorLe5Sz88Jy88XMICXdkVlkDP0bva32NeOMDFaVEHIaGMPAJ2IJrX5j36pn_b2g8jwPoRDHl6q8t24goEKwjm7sbhKFfxO7_b-J6E0pUZ1TuwOYLlk4Y_oBVtbB3izOJ4YOW-cRlYJjIqgklK6EyAlQBfoBXttSMEjcgMAde5710ioaPt-lDmh5sFyEu7WDXG8_bVq_cDNHe&__tn__=%2CO%2CP-R
pfbid02QiJeP3UDbXoYcpxHJUTkyyA3zw9bFU4X6Vr4eiiaZxd6RSq3rJCQx6ysS93DKoGql,Creamier Handcrafted Ice Cream and Coffee,0,30,0,0,0,0,0,0,30,0,When was the last time you savored a triple scoop on our freshly baked golden waffles? Or shared a moment of joy over delicious freshly churned double scoops? Make your way to Creamier for your dose of happiness. Creamier East CoastCreamier Gillman BarracksCreamier Margaret MarketCreamier Punggol NorthshoreCreamier Tiong BahruCreamier Toa PayohClick here to find us - https://creamier.com.sg/locations/#SoGoodSoFresh #FreshlyChurned #IceCream #Waffle #Coffee #Creamier #Happiness #Singapore #sgcafes,2023-10-20T11:06:17.777926,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/393613269_714320597390980_4102570007800510905_n.jpg?stp=dst-jpg_p480x480&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=QtOQ6kNB-SoAX8tcb9r&_nc_ht=scontent.fsin16-1.fna&oh=00_AfDJrOfceGWn3HHb69u3nfpUKyVQTPZ8w6a5qnEE7dA4ww&oe=6539E0CD https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/393723092_714320694057637_1598372304847598441_n.jpg?stp=dst-jpg_p480x480&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=K7Xz1lU3xowAX-NecZZ&_nc_oc=AQkbeT2aw_WE5ZsTvtbWSrLIO_3Pe_y0-dZgwJsnqyo91ps-dAnjEBdXtMJ50Npjo-ThsmZpPwUIANMXBsEBwxgu&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCsREix3jr2wLmR2p1a2J13pXbOiaXnsk4PCKccmqE33Q&oe=6539232E https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/393724260_714320964057610_428309029556585271_n.jpg?stp=dst-jpg_p480x480&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=26dPHvIsSuAAX-NGaFp&_nc_ht=scontent.fsin16-1.fna&oh=00_AfD6nQNVXeBHBHZGZJSiedpaU3L1Yb0Li4dnWcrzlV0vOA&oe=653A0255 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/393631963_714321027390937_750882944962755987_n.jpg?stp=dst-jpg_p480x480&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=V8ja8vDU8MkAX9rgFTT&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCeBG_qGyZaoZpB-K8CrmTydyZD2x-hxL_d7Vm_3h2WYw&oe=6539731F https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/393779071_714321074057599_6835056112709124980_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=2-uVhXIzAHAAX8piwQs&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCTDzLk8v5c9Q2cP2kmxJ52vXj7af1Byif587j2kgcjrQ&oe=6539ECC7,https://www.facebook.com/creamier.singapore/posts/pfbid02QiJeP3UDbXoYcpxHJUTkyyA3zw9bFU4X6Vr4eiiaZxd6RSq3rJCQx6ysS93DKoGql?__cft__[0]=AZWTI_38qNn7D2OCWCRv0WXSGAoGUx7A5d01KfOXO5uqArgcjJhMn-7_7E4pqjWpAOiN6k4d3yzSW7qr7iDtEfN6CT9GXIKIJQzdVpIi6p3xenS3NbpM_7t9EJHmfrnO8sihLCZP1NJ50fAualdLR5-qoMP-fCKRXcOCtxKG0KPdBkTeScls4Twhjz0ExQ5fKcnqTk8KRwXI1UIfhaI6-2xR_qw7dxVqoeXBEeWV0BqCEA&__tn__=%2CO%2CP-R
pfbid0k8NUWjoTcJATHTKqf1ncMMe7vfT3bVCwp3AG2BASsiCKQorDz4GUdpza2rcK3Vnol,Creamier Handcrafted Ice Cream and Coffee,0,10,0,0,0,0,0,0,10,2,"Creamier’s guide to celebrating birthdays! If you’re in-store at Margaret Drive, check out our newly launched Creamier OMG - add a candle for birthday vibes.Staying nearby our outlets? Hit up our food delivery platforms for a fuss-free delivery of our Scoops of Happiness.And if you’re planning for a party ahead, order our ice cream pints and frozen waffles for a full dessert experience at home.#creamier #handcrafted #icecream #momentsofhappiness #waffles #singapore #local",2023-10-17T11:06:17.956970,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/386521711_707622528060787_504180479792032157_n.jpg?stp=dst-jpg_p480x480&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=bAYVdHNQ6n0AX8KpzAX&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCiB3tdbPlFeQWyjxKSpVqRKvePRESvn2xjmfr7KmE36w&oe=65394759 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/386734806_707623218060718_752162968627266317_n.jpg?stp=dst-jpg_p480x480&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=33tuC6BSm9YAX8KfGxp&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCzZYvQwLqNHzpUsMD2VJAdC7CSvK8MxxRI7NFUuI8E8g&oe=653909D7 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/387034977_707622868060753_6240327350411116665_n.jpg?stp=dst-jpg_p480x480&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=1DDYFT8mr6sAX9h8oTD&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBJUMTrOnACub1nOTJENd_Zzn0aTDzHP0-n2J1oqB8CnA&oe=653A6BD6 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/386736908_707622951394078_4327979107632750944_n.jpg?stp=dst-jpg_p480x480&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=NfViQknEO58AX9RYsS0&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAHooNYOuMguwJ3QgEQIKo6hFPuON-ALl2qIqFumMHxsQ&oe=65390D01,https://www.facebook.com/creamier.singapore/posts/pfbid0k8NUWjoTcJATHTKqf1ncMMe7vfT3bVCwp3AG2BASsiCKQorDz4GUdpza2rcK3Vnol?__cft__[0]=AZUA89coVuBa7S506vpOwuTNjovwCGsm1JRT_fJYxcB-kA1VrJr3l6YajAwMXT3zfQ8RloZv2DGGsCi44dRDIuOZLRM85ANVs9ZvjSTo7IlqME6ZYWE0OfAsRCMu9doH0kzxNPhHVYOcjXjG2Ileou8WZ1tjuvZ171aSc4LE13j6lm-Tjyeu1wJpoTD9Ut7r_P2lcCo_JAI1zuauYMGLmlme&__tn__=%2CO%2CP-R
pfbid0d3JbdtymDw3axQZtxc1Bup8sTWmBrUFfTQL2PHxX89dAxBCyeonzRsL89esquAoFl,Creamier Handcrafted Ice Cream and Coffee,0,3,0,0,0,0,0,0,3,0,"Calling all the goodest boys and girls to Creamier Gillman Barracks. @charliesugliesThe weekend is fast approaching and our Pup Day Out continues!Our Creamier Gillman Barracks outdoor area is pet-friendly. Come visit us with your doggo, order a set of waffles and your pup enjoys a Pup Cup on us!Limited time offer only. While stocks last. Terms & conditions apply. #creamier #handcrafted #icecream #singapore #local #artisanal #dessert #cafe #pup #dog #dogicecream #momentsofhappiness",2023-10-13T16:30:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/386492595_707617598061280_326892819800080342_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=YCxtKJ_QiacAX9JZiOz&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBqNwf_ppxW20Vm0CVKtszYVKyDB__JQ_bqq7FLKDfdFg&oe=653A1EA5,https://www.facebook.com/creamier.singapore/posts/pfbid0d3JbdtymDw3axQZtxc1Bup8sTWmBrUFfTQL2PHxX89dAxBCyeonzRsL89esquAoFl?__cft__[0]=AZWErHiPm-LLXm0UHbZ2Z3S34QwQ2Icv5cXBdZJU0jCvWwmLGsPmPLcKeID0GSlxuVzgCSVk0WT9_s8v72yRAZ-tkp28NyGNqaneqoxx1wWXzFDhKr73CUv3USQkIWLg7nezm9L9SGjr1GUBkIBM44IFFrAADHUQjMolx3AQVrkk624EiAfKaKN672-lsxq0Gs0dAjlnII2otdJtnOX5HkKy&__tn__=%2CO%2CP-R
pfbid02gWo7SbZndqJfA9yfEbRmSbWzgCWJx6bJs5M9RfKRfya7Yh2P1XGZmdbJSLTTH7PJl,Creamier Handcrafted Ice Cream and Coffee,0,4,0,0,0,0,0,0,4,0,ICYMI: The 15th stamp for our Happiness Stamp Card is a set of fresh baked waffles with a single scoop of ice cream!#creamier #handcrafted #icecream #momentsofhappiness #waffles #singapore #local,2023-10-11T12:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/369144763_707617304727976_7222041102328297295_n.jpg?stp=dst-jpg_s640x640&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=X9g7Alo4TJ4AX-kX3Ax&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCYeO4kgoB4lEnnsXwg74yYz1ok0xs_PS-22Njnt0xXrg&oe=65389722,https://www.facebook.com/creamier.singapore/posts/pfbid02gWo7SbZndqJfA9yfEbRmSbWzgCWJx6bJs5M9RfKRfya7Yh2P1XGZmdbJSLTTH7PJl?__cft__[0]=AZXUfEB7Iis8HRZO7R3wDwtyst7UXiKIM3yZRMIqKk_fZHAZxSM8zMQDqmkuvHTITZgY6eWdB01iMDrlIAfZ9KhkB85_JokEz4lUCTcVJBBw8xtDV5OcYPYNJiqZtpG6l8K8Y4PZlDTM0TPeJSB8BD0SlB9WiBQzDpMSFcUzYaOC8KQ8kbXooS5vc54BA2X_moIAmzpx0seoPTaT4JqboG7Y&__tn__=%2CO%2CP-R
pfbid0UxaJ5HJAW5YU7cLzcwKNqX9YShzMShvrbvXULWajJjwGkLkyqj9gughEyAHq7GGHl,Creamier Handcrafted Ice Cream and Coffee,0,10,1,0,0,0,0,0,11,2,"Double the scoop, double the happiness. Every Tuesday until 31 October, order a double scoop cone/cup, and enjoy the second double scoop cone/cup on us. @shanmaineUpgrade to waffles for an extra treat.See you tomorrow!#creamier #handcrafted #icecream #momentsofhappiness #waffles #singapore #local",2023-10-09T16:30:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/386734601_707616621394711_180233077532827690_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=iiqd9D_xs6cAX8lXkmL&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBBoIekccoF1ggk0wRH_YJq8ayCL3ADwC6stAkm_QzQ1A&oe=653A33A1,https://www.facebook.com/creamier.singapore/posts/pfbid0UxaJ5HJAW5YU7cLzcwKNqX9YShzMShvrbvXULWajJjwGkLkyqj9gughEyAHq7GGHl?__cft__[0]=AZW5PTj3Tmu14xcePI1Gw9puKT6j-f7vBfX2LCHzkidNj82-z_6P4vdfmt8TtbBW2-xPb53TQhRUDbcBsnMValjfXtMAnnnQztvudfMEcTLwBkNOOZBg8zWnCImiTt4mD2uZm07MXsgAQ2J2x9IqtgyhF1zgPpF7VHFrtKzJu6CkR3BULo3k-dyDIjPGDixjBjSUFjwEzT9wePQ-DAXWu03-&__tn__=%2CO%2CP-R
704109404954418:704109404954418,Creamier Handcrafted Ice Cream and Coffee,0,3,0,0,0,0,0,0,3,0,,2023-10-07T07:50:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/387092768_706158511540522_7292106508586736128_n.jpg?stp=dst-jpg_s640x640&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=0bStkz5H3d8AX-PNgpy&_nc_ht=scontent.fsin16-1.fna&oh=00_AfA9cpNpTJjqrwuur8uqh01zI2K4hto84TI7V_0Xo1FfjA&oe=6538CD89,https://www.facebook.com/creamier.singapore/posts/704109404954418:704109404954418?__cft__[0]=AZWie-FAWJgclbf5ktUhBLCJ-q6O2UZ787GcThe_BDIxL_IZ75LkKNb_m59w7dyfZvqvE1FD_UOPYpQY3MJhDAgn8m_SuWKGzKtroU8n3ly9_RdZirWaXAHRvgw-fl-_IEl0MJB0DkqtapFbmbVFiyCj8vnCWSm-Lqxond5P_qmDxr0ZrE5yB2JeMJx_Q6211OLPXC5u1xFq3bCBTz9xQjGz&__tn__=%2CO%2CP-R
1716199432219149:1716199432219149,Creamier Handcrafted Ice Cream and Coffee,0,0,0,0,0,0,0,0,0,0,,2023-10-07T07:49:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/385780764_706157951540578_4485494986362924490_n.jpg?stp=dst-jpg_s640x640&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Z-YVg-f61K4AX-8DHnt&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAQLnKcmQXPmaj0pswLnNOPFA_Qfpp6Ls0OnGmcxiRrVw&oe=653993E7,https://www.facebook.com/creamier.singapore/posts/1716199432219149:1716199432219149?__cft__[0]=AZU2ENmJjKHCcieGuGC2AIdvuJ5FvzvsNknB99a6q4fDD3tLGWd11fPfXY_lzn5wTHrZ1KNERzq6FKsdqaKynEt_-h1COAhaxTae1Vs1HzrfJF2FmOV0gNdotobKmToNU_kqCmmW6Sk6hyu2AXCU1RNQsmFSQWaEfjGxhqJxj3AiLndGe1kmAZak8rD_1AyGyrNBnAoFtCRDxCX8yZuF3x0w&__tn__=%2CO%2CP-R
pfbid0SDZhGxmCxXDxBGeCiGFwPFC4yCBbH357kvAffKKfERp4Gx4mnUAMaz543Wm7oaN5l,Creamier Handcrafted Ice Cream and Coffee,0,3,0,0,0,0,0,0,3,0,"We’re revising our operating temporarily for Creamier East Coast Road, Tiong Bahru and Gillman Barracks on weekdays.As usual, do check out our website or Google Business pages before visiting for the most up to date operating hours!#creamier #handcrafted #icecream #singapore#momentsofhappiness #artisanal #local #dessert #cafe",2023-09-27T12:16:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/382687974_18382821823024281_1402770003440335932_n.jpg?stp=dst-jpg_p480x480&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Dm-Sw8yw7G0AX8g-fqM&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBxLJGNe9qVMLaEAf_x7_apNcsfVP3vRembYv0jtRN7fQ&oe=653A0837 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/384226951_18382821832024281_1234110213788207482_n.jpg?stp=dst-jpg_p480x480&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=JxzXYimuzW8AX8vV5Z7&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAE1advmXhB5WUNgtm_LKJkz2CMvONJ-FfLLMiWfhG89g&oe=653A0F35 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/381395865_18382821844024281_1415679653391817445_n.jpg?stp=dst-jpg_p480x480&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=R7jTVC7i06gAX-YoqtH&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCL3FIfV4pPwPhKXil2d-XiVaZRrCJyRVstne3r0dnysQ&oe=6538A321,https://www.facebook.com/creamier.singapore/posts/pfbid0SDZhGxmCxXDxBGeCiGFwPFC4yCBbH357kvAffKKfERp4Gx4mnUAMaz543Wm7oaN5l?__cft__[0]=AZVbbrSHc6uS5qfj8jKGO-VB33d8RNmiw18oVT5qRPrJUnYctI5wx7DKp8S85Gwfn9WPi3pPT6Km-Bu4V9Q0qeS0butRphmruFmTZfhHEQstf_0CQppdKOWiQYYGdRBSdcMG_2TGHOReVvxzijBgyArHjwGZ4jRH3rEGo-izrm_MY2JudK-pBaaaE94oonLyl9HMB2yRn5yKEF4HEl_4gzOJ&__tn__=%2CO%2CP-R
pfbid035hVwv3cmeg9wBLHbUE491LhdUYvsKgZZF1y9NbBtJumVXCsxni7YuykpZAVgDC1Ml,Creamier Handcrafted Ice Cream and Coffee,0,1,0,0,0,0,0,0,1,0,"If you’re in the Marina/Suntec area and crave a taste of Creamier, here’s your chance! Creamier is part of the AMEX Shop Small Popup Market from 25 Sep till 1 Oct. We’ll be serving ice cream with a waffle topping, and take home pints as well!#creamier #handcrafted #icecream #singapore#momentsofhappiness #artisanal #local #dessert #cafe",2023-09-26T14:54:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/381330950_18382660717024281_8284874163712642091_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=7Jvv2yA5KPUAX83zZVG&_nc_ht=scontent.fsin16-1.fna&oh=00_AfD6QwYTreWcCxCpTDa78BekCUIgzgNfQbWxWnX5GOzgOQ&oe=65391055,https://www.facebook.com/creamier.singapore/posts/pfbid035hVwv3cmeg9wBLHbUE491LhdUYvsKgZZF1y9NbBtJumVXCsxni7YuykpZAVgDC1Ml?__cft__[0]=AZVy2mvlcv9hLx_SxXmo-94w90AENpRjY534rxbnw1lWLpQfIrFtHeA2dg11l8hWUqY9t0gC6DTDAoYEbgmsC9H-zT-yQ6aotyuJl88KrEFN2lbn1iz_baSKOd73NvXinhk47BviIqMipXYfL1UVs9BxEwUNunnDpWpAembM9t8SXmQP_ewn-Ox1R6L5LCJvzRMfJPBwgNPCXctMcJLUtVuP&__tn__=%2CO%2CP-R
pfbid028pnkqhNpBBGn8gQrVuC3QwfFbAx9jyb8vGtJUfURs5ea8tw7d8gnHomzMqdkSY6Nl,Creamier Handcrafted Ice Cream and Coffee,0,1,0,0,0,0,0,0,1,0,Don’t miss out on Pup Day Out today at Creamier Gillman Barracks  bring your fur kid along and enjoy happy bonding time. Our outdoor seating area is dog-friendly. The pups can enjoy a free pup cup for every dine-in waffle order  #weekend #happiness #icecream #icecreamfordogs #creamier,2023-09-24T12:44:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/383347646_18382256380024281_4598998955624628300_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=9k8_7SgxtP0AX85krK9&_nc_ht=scontent.fsin16-1.fna&oh=00_AfB3JozUFa1gSc0mdsEitWlB5Dcs7Pxhw5P90QsWfX4Paw&oe=65396EBE,https://www.facebook.com/creamier.singapore/posts/pfbid028pnkqhNpBBGn8gQrVuC3QwfFbAx9jyb8vGtJUfURs5ea8tw7d8gnHomzMqdkSY6Nl?__cft__[0]=AZXMuDbkT_I2wszBezXSylG6cNestxx8UMkCtfK1P-veoFZ_K2wCQVqNOt8rs_G7BeLuds5cnwyOmDrDr1YKO9ul6e0FuVy-r9-E2DpZaRb0FKVEHWkLS8RdOrQUedf9yelH8oJDDWccPPxSeQjZ_CIkgflJv87ZnzHCRvX8XAQaIsQVYbsdr0gIuclli_WCFPJixlY0qK--AWl_2k3wLDZr&__tn__=%2CO%2CP-R
pfbid02oMfYZ6GnL8wVEqym7D8qGYKkDfomKGMNDexZCWw1DckZUKkhUQ756uixvBeg49VEl,Creamier Handcrafted Ice Cream and Coffee,0,2,0,0,0,0,0,0,2,1,"Tuesdays just got better. Pop into Creamier East Coast and enjoy Double Scoop Tuesdays with us!Order a double scoop and receive the second double scoop free. Available at Creamier East Coast from 2-10pm on Tuesdays.Limited time offer only on 26th Sep, 3rd Oct, 10th Oct, 17th Oct, 24th Oct, 31st Oct#creamier #creamier_sg #momentsofhappiness #icecream #doublescoop #tuesdays",2023-09-24T11:42:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/381275908_18382249360024281_6458831761411021157_n.jpg?stp=dst-jpg_s640x640&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=YXrdd23ytWsAX-umaVR&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAEIJXNFg8m25wZrjXg-PjOv0-OL4xW-iPlgErnWO9y-Q&oe=65398ECE,https://www.facebook.com/creamier.singapore/posts/pfbid02oMfYZ6GnL8wVEqym7D8qGYKkDfomKGMNDexZCWw1DckZUKkhUQ756uixvBeg49VEl?__cft__[0]=AZVvEx-FSyrrnRWFrFIEIE97vbGgwPHQ41tL6QPNkz0h6N0R8eCA1Lrof3qDPEl4cdwomohb45YDmuOeF6YynQ82GnfxsMpIdNvfYbZGr4V1vVjvCsOWVIufFPLaauc75KkzTUSgW3-NTTsCQIvKxcZu-tVz5OdhqDDDYSQI9BUiVXz4J5oux51GRaxJNCoAV4iL6GsHkQ3wwoMw9ehbgAvA&__tn__=%2CO%2CP-R
pfbid0Sgybo4qjpMvkG3XM5z378U8L2rgAkXWZHhQ7jv9vBadvqYMUK3bvSKt4UEKLGqfwl,Creamier Handcrafted Ice Cream and Coffee,0,5,2,0,1,0,0,0,8,0,"Just right for me night, date night, family night, cheat night. Scooping till 10pm across all stores. #icecream #momentsofhappiness",2023-09-21T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/380766960_697036849119355_6505740328745803601_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=C8FYSZwOxlkAX_tFtPe&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCmz_kuGTV4c8UaqZIbFzM87OQ1nl18z0iMda1jK24a3Q&oe=6538B62B,https://www.facebook.com/creamier.singapore/posts/pfbid0Sgybo4qjpMvkG3XM5z378U8L2rgAkXWZHhQ7jv9vBadvqYMUK3bvSKt4UEKLGqfwl?__cft__[0]=AZW3JkJ_vOobIPVfb4HUeipkweK3YdWoh33zxx9-i7N7qWthNRmDdhtLHKhatOlOWmi_11mTDWdckYnhYrhg5IoQwfXIInN5tXtyk0sdVO3m-1XrwfcYA9bGPOPf-qNak6umSqB1puLPegz8FUp58eQ8GIDcSqS_iMhKcr9yMoIBb9DWTx697zTPs-9BT48GUm5NV08X1aFnn3y7MdI44HdoHt4--jDohdIKdOhnhpVl2w&__tn__=%2CO%2CP-R
pfbid0XXyTkXmrWd38RZCD6vK63kVfHxvQ7togsVMCp9F9vTbjNVFBqSzpwcgs3qLsyWUql,Creamier Handcrafted Ice Cream and Coffee,0,11,0,0,1,0,0,0,12,0,"When the heat gets to you, cool off with our Fresh Mint Melon Experience a refreshing blend of fresh mint and crisp sapo melon, creating a sweet and juicy flavour that is invigorating for the soul.Stay tuned for our second special this month!#creamier #handcrafted #icecream #singapore#momentsofhappiness #artisanal #local #dessert #cafe",2023-09-15T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/378121287_693260749496965_1306184543160803901_n.jpg?stp=dst-jpg_s640x640&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_a2YuGZ8ApcAX_7KNuj&_nc_ht=scontent.fsin16-1.fna&oh=00_AfA8yAL9Ao8yTJUT9UsJHNuHW-nAHdOALr9MEdn7L6HR8A&oe=653A7FA2,https://www.facebook.com/creamier.singapore/posts/pfbid0XXyTkXmrWd38RZCD6vK63kVfHxvQ7togsVMCp9F9vTbjNVFBqSzpwcgs3qLsyWUql?__cft__[0]=AZUtIiQt0inuQInYT_qsw5FXd7BHGdsqqG-bx-gicoTf2sWNII3fTcfLy5VrJOp5_hRf9oiaUPs12kFmwe34nQ4nNynevXWM_im6owzWVzjRsllXrM5j6DVWJbkNen0XlYpb5FyI7rWXLRBz1_IuBWlJ48WakpyfTji0JHukUEx1YmN8a7qOuKheXfjULsECoOauO6D7VbcqjDMEmkMnLSsJ&__tn__=%2CO%2CP-R
