id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid0s9fTrmxMLQSZAVyPVbSPpUkJc6MBR18bFjARdf522EuMrJ8KEMUPBJHUX7PGKCYl,Freshio Gelato,0,0,1,0,0,0,0,0,1,0,Uncle KT and Aunt Steph went for their votes in the morning! Now making more gelato for the hot weather. #sgpresident #president,2023-09-01T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/372685539_18049518115469406_2233283530201624526_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Nyq0cirPfaMAX9LnyyI&_nc_ht=scontent.fsin16-1.fna&oh=00_AfC_MgDuF4u5ZFzOjDI5WSyPBa5jSkhU3wAvJwrW-Rhe6Q&oe=653920AF,https://www.facebook.com/freshiogelato/posts/pfbid0s9fTrmxMLQSZAVyPVbSPpUkJc6MBR18bFjARdf522EuMrJ8KEMUPBJHUX7PGKCYl?__cft__[0]=AZX5th2YBqrp4rkd4rahej6Dg0aYGSwFCu65qbA98bomLrc2xiEgQ57g8hti42cwNhUxSyn_i4zstNhpIBYN0csAHpcRyAjRHYBvWp-x2teqTG_O_VIfFngcAmWujbA8bq9uyaXeO-WWWK-f3EptrsmhtmcMkf9ugGAoUh8FydvB3GnRZKpK8T0Rt8ROJdcIPQIpvZCqAk6MKZPIEjrk7VU-&__tn__=%2CO%2CP-R
pfbid024nyGFnVLXxaP9scGunQh27jH5oXbjUDdtK3JifU5DHHTJmq8TdGHCcTdpYfKxCbsl,Freshio Gelato,0,1,1,0,0,0,0,0,2,0,Uncle KT took a really big bite from the Azuki filled bun and he tried to fill it up with more beans for the photo. What’s missing in there is gelato!,2023-05-10T00:00:00,['blob:https://www.facebook.com/bbf2ed0b-e2cd-4a05-a1ea-0b43c5c1bdc6'],https://scontent.fsin16-1.fna.fbcdn.net/v/t51.36329-10/345761815_196223883284747_4861924755170222347_n.jpg?stp=dst-jpg_s960x960&_nc_cat=103&ccb=1-7&_nc_sid=1a7029&_nc_ohc=eHvqnQzbXMcAX-qhIGq&_nc_ht=scontent.fsin16-1.fna&oh=00_AfC-gNxUhkWfr0KAgjtn7Ez-StQ1HhQNIhGo4y5-kNuBog&oe=6539720C,https://www.facebook.com/freshiogelato/posts/pfbid024nyGFnVLXxaP9scGunQh27jH5oXbjUDdtK3JifU5DHHTJmq8TdGHCcTdpYfKxCbsl?__cft__[0]=AZVvCCyaAR0NBbL_X77O2hrOoMsqu9oWLVxuSnWaqZqAk4rwgKGOADkoAc-zaGbLQSGwOK1UYOoNeon4zPpNSoQcCEaQ46ldt9ywcLLdDJY18QOwD66-g6DmMzLQ3r7hfE8UMMtOJ8OPfk3OOtW1U2z4zsLTJ2lV028WQzDzBkGJ6mHOysDA_JDQPwHAJaCLhSJkErPrs35VZULcra0g9BjQ26YKd0OjiSyBPC9iVZ321Q&__tn__=%2CO%2CP-R
pfbid0d4WGr8HHSKrmTcvfhknb9MoVW3ADvRT9j6csLFiy1vRYPmCfTfhabrwTFjkZbNUhl,Freshio Gelato,0,4,1,0,0,0,0,0,5,1,"Drop your request to Uncle KT, he says he will be happy to make some based on requests! ",2023-10-22T08:47:23.061820,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/344301502_952943436159788_1605008262938963075_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=MeN4bK5axuoAX8F0yK0&_nc_ht=scontent.fsin16-1.fna&oh=00_AfC5lCXKCad2Ke4sDY6cWrUsVyUXHTXTkDcGJYPN3SDihw&oe=653A03E7,https://www.facebook.com/freshiogelato/posts/pfbid0d4WGr8HHSKrmTcvfhknb9MoVW3ADvRT9j6csLFiy1vRYPmCfTfhabrwTFjkZbNUhl?__cft__[0]=AZWkf1jA-1YudgZAsznUcBCnca_kuIjm7G6fBJfey356lpeRS-YhvCtLdJIi2deFmRk4f6tVg9f2cZtFmWUGmMMrBu29bYP3ReDjfInKBIwUIWqR-BPbYHN8IHW2YI1PSMqDtZhkuPdfeFFT6V7fUivmHRqkrefvEaKlhoW4olH6Co0YWzvoKJhA7b5eyDBKYVcykMNtc5ikt-JFn7tEycs7&__tn__=%2CO%2CP-R
pfbid02FkFE2hnLrv2X1vxmZZamthJxPVGZDTkAbFFD2Mttr3ntq6bbhqr5jYBUB6shsFe6l,Freshio Gelato,0,3,0,0,0,0,0,0,3,2,,2023-04-07T00:00:00,['blob:https://www.facebook.com/83791a19-3e96-4e0c-bb7a-69d610086e9c'],,https://www.facebook.com/freshiogelato/posts/pfbid02FkFE2hnLrv2X1vxmZZamthJxPVGZDTkAbFFD2Mttr3ntq6bbhqr5jYBUB6shsFe6l?__cft__[0]=AZUnUnvUKWtryUn5pHyvVUj3fRwyEV9pprsaE_ToPZBV1mv9QVwhr7Y28BeETatyGVARX7bM_52MsuntR07tnKm4-uGD-0BujLnb1B-JPIeGZLZgBajTY2Ra9d_YRgVxzTtP96V6NH4gGgnqzLmwvOVQAryAM_JQQdhqepiLop1Ytwh9-RZ2RO6krSHUDV6--s4PbIpgvmV6zmMHztz1XIarS2gYRTCOheHWkNiH2aNqwA&__tn__=%2CO%2CP-R
pfbid02v5YbAcgCcHdCpQF6N9eLPGU3XBaNsvsPoYDDBqZrKKvQ5khyQ2TSYCaNJbwR6c8il,Freshio Gelato,0,13,1,0,0,0,0,0,14,0,Thank you for the support! Have a happy Easter holiday tomorrow.,2023-04-06T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/340271673_2210100689169374_4975881454371499174_n.jpg?stp=dst-jpg_s640x640&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hIxiT0I5HJIAX-jaXvv&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAl4Gj3sVtS_pPqYOeNDHovMqtolotA0CxuVE_5kEl5wg&oe=6539D0F3,https://www.facebook.com/freshiogelato/posts/pfbid02v5YbAcgCcHdCpQF6N9eLPGU3XBaNsvsPoYDDBqZrKKvQ5khyQ2TSYCaNJbwR6c8il?__cft__[0]=AZX0XDGj6SuyYDejEPdC8RIud_-xQN_mrLVckuhYXdbpmLwpAuaNLpOVg89YDiwhjlxTBSsmPnsMJWjMeFEsggaQAtMkjaeDVKDEJkbdn6PHar_ra7Pc5kQL7BUuFr03D40zAMDZZNCqHu44qEH6V5QK8F1e-SGvYz7JqwRcbcgp9Q8bV4L1XRovAj6QZtp149dn0vpZHVOOSVFWsrvuBEB0&__tn__=%2CO%2CP-R
pfbid025pGkZ4x4Uo7mk1pWwfcvFQfxTcJfmqTT8FxPqnz3pBfEFjeRT3xYp9XPdE4Pz4u8l,Freshio Gelato,2,4,3,0,0,0,0,0,7,1,"https://www.eventbrite.sg/.../free-waffle-cone-redemption...We are having free waffle cones for this event, purchase the free tickets before they are sold out. This will be our first road show and we are showcasing our fresh gelato in a way never once seen at our outlet. Come by and say Hi! We will have croffles and panini sold during the event too.",2023-04-02T00:00:00,[],https://external.fsin16-1.fna.fbcdn.net/emg1/v/t13/6455439228503660574?url=https%3A%2F%2Fimg.evbuc.com%2Fhttps%253A%252F%252Fcdn.evbuc.com%252Fimages%252F482217119%252F1479016154063%252F1%252Foriginal.20230331-120541%3Fw%3D1000%26auto%3Dformat%252Ccompress%26q%3D75%26sharp%3D10%26rect%3D0%252C0%252C4500%252C2250%26s%3Da22ba2d66b40195f9c4b244651d19506&fb_obo=1&utld=evbuc.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbFL1dSA_98y0qRTpPa56v9ftyCcw9jNOiKFIBqKkNmwOA&oe=6535F14C&_nc_sid=dbad39,https://www.facebook.com/freshiogelato/posts/pfbid025pGkZ4x4Uo7mk1pWwfcvFQfxTcJfmqTT8FxPqnz3pBfEFjeRT3xYp9XPdE4Pz4u8l?__cft__[0]=AZVevKH9cune2uVCeQlEeZ0QMBjpq5mUAgi5dpj_YCN6a7f01bsnnCVIQZKPLiXgd9stHyjEw6USJLEozMhJ5-_WC-60lpsLVMmx_EbmWjQ0uHbMv4BpmoLHgme-cPa6pStXIuBM2tQczJNtCG-ioXX93eNff09glicU2TVDLs2QRdPkCKEEwy-9mBW4dBt5eYA0TGA9-iBOTZuFJoj_xiJm&__tn__=%2CO%2CP-R
pfbid02fQoJZ4vxT8uwZwwU65fEZgQoMzpyERgUBCNwGLpPsHeavQoTPf3vfDaW3onCwuD3l,Freshio Gelato,0,1,0,0,0,0,0,0,1,0,,2023-03-31T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/240511121_2990489691270141_2369407848795446762_n.jpg?stp=c0.7.526.275a_dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=6L3qpTf7MIYAX9JuoKx&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBRfk4_Zl85ic6P8VSBZt73B8Wntt0Hc2ouVnjvVkyr3A&oe=653A13EF,https://www.facebook.com/freshiogelato/posts/pfbid02fQoJZ4vxT8uwZwwU65fEZgQoMzpyERgUBCNwGLpPsHeavQoTPf3vfDaW3onCwuD3l?__cft__[0]=AZU3VfRxsTx0UrNQO5xu2DopDX15YxKeezi2g85vtggOPco0_eNLNOYeZIeg-C9tgHizbXKaX50S9X3yca8Y1S1p1ershFXEgVgd2U0RQ3hphJKCe_ujm9Uw1DX3vyN5mt_5NPw5vRKqs4qPCTEANtIpYHlyhcv9b-t1_5Vl-j0tGqy5GQ3h0Mn4Bqia_RbfVVs8MtHgbwQ9MZYkIpXB8gj3&__tn__=%2CO%2CP-R
pfbid02iqnAb6RE6rM6zTEPuV5J3pTD9PdUywyS5qwKHJWD1FgvskxKrtUr5QndDtXhVvqWl,Freshio Gelato,0,1,0,0,0,0,0,0,1,0,Silky smooth…,2023-02-26T00:00:00,['blob:https://www.facebook.com/63759e7a-c81e-419c-b006-6d118b30df52'],https://scontent.fsin16-1.fna.fbcdn.net/v/t51.36329-10/332752608_613234007292481_8550778065567379510_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=1a7029&_nc_ohc=2kvGR7yB3SAAX9Ri60U&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCyByIv_hphhY_njtCOLPBfBn-G0IkHfTvne6_eFCVVNw&oe=65398C7B,https://www.facebook.com/freshiogelato/posts/pfbid02iqnAb6RE6rM6zTEPuV5J3pTD9PdUywyS5qwKHJWD1FgvskxKrtUr5QndDtXhVvqWl?__cft__[0]=AZVnzxVLKuLU-OVnipSSt-8LLyeMUz0CybM1TQc2SkB1QZwcd3fxqOGBiTMkPOwoiIbbITGKozQtmDKEfCGfejuPqJAUSRl87NFjsb0okEd_ZUwoxJKKArofngw9EV-kgcrwm45UyTKkEZv090YR1ULcdlUvrZYvfWTl81zmSI_tJevRjJqtjq-gJe6vYLA62Bjaj_mk5TOU2LiCYXvQuErVH-OwHL_bu3TfjSL9Kt1z1A&__tn__=%2CO%2CP-R
pfbid02X1B8tvQ9SaVnhAQxjRbmDJ7RUN2WRTfnSVH7gSu39VxKV5PixqBazpBs8M3PH6iKl,Freshio Gelato,0,1,0,0,0,0,0,0,1,0,,2022-12-06T00:00:00,['blob:https://www.facebook.com/0d38c378-7dd6-4d2c-82d8-1873f2be5d8d'],https://scontent.fsin16-1.fna.fbcdn.net/v/t15.5256-10/318419892_504323481483223_1528701912737169160_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=1a7029&_nc_ohc=y_of9pXJj3AAX8e4F92&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBdST1r4HI2Ng3_68eNQf2bfaC-gyk1wr7jiVvwL1WDfw&oe=6538A4D7,https://www.facebook.com/freshiogelato/posts/pfbid02X1B8tvQ9SaVnhAQxjRbmDJ7RUN2WRTfnSVH7gSu39VxKV5PixqBazpBs8M3PH6iKl?__cft__[0]=AZUtulwI-eq68APpHOXc0jTtSoJSTb64F5--kqgRQGoPUgIxRdTe-c9yoATLr-ATP-cN3MoA8fH-6vpplN0qFgZx-6i0PIHrlFY1DA6CqOcPtrzyHWk1KQ_9sMeWryWkz2xIDgJBp2H4xLxFfIE0QgOSQHsHPh-Vzw6Pwr0VGSKAXjFdBTR3pv477OO68W-_AOupJYmPg1vK0aPtIHjaRfiXgle0ue8shH7VY3u2cbUDhA&__tn__=%2CO%2CP-R
pfbid02SX374Acz4nEfSRfRz6Gh3fCfbsoJ4bKxUDqGJJVmEja96ca7eYiJ7gizdRnraoCQl,Freshio Gelato,0,2,0,0,0,0,0,0,2,0,"Mdm complaint about my burnt dalgona sugar! I’m sorry Mum, I made this for myself not for my customers! Feel free to ask Mdm for dalgona sweet and taste for yourself if it’s burnt….#dalgona #dalgonacoffee",2022-08-11T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/298744756_3237075179944923_9112792003996772359_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=tSDh5sPUhEIAX9JWiZK&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCFFKJDRDQw-0HADkFLmOT96SGN4LA1ujlOFHhJtrMMuw&oe=6539D788,https://www.facebook.com/freshiogelato/posts/pfbid02SX374Acz4nEfSRfRz6Gh3fCfbsoJ4bKxUDqGJJVmEja96ca7eYiJ7gizdRnraoCQl?__cft__[0]=AZVWnw40MKx0glzJMXGDb4wcU3Q9LP3MaUouO9cVGhaRaqo6OMCfd6W2iwhKD8QB0qlx4_jC_iViYdK32PVhAWYBsDalz1MapDrKm2uc5oB9txkfInH3YKIibORAkE9ll7CA1tH_ct0QtNdihrEnde0JFjaqfRV7v2d-R9trgFFFNRjz11Cqo2D47mffdZDsv9sRH3WLqmPy1F3LR9hEca02&__tn__=%2CO%2CP-R
pfbid02YwE1erkuwxY2ET5vt422muQGCcdgadgF3ARJ91HwDbNbRQtsCtv6Xr2CwzovZ57xl,Freshio Gelato,0,3,1,0,0,0,0,0,4,0,Salute to Singapore!! Uncle Tan doing his salute to Singapore! Bam!#happybirthdaysingapore,2022-08-09T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/297239293_3235710950081346_8548522556188834782_n.jpg?stp=dst-jpg_s640x640&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=37IbXxpqpvQAX_5UBOD&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBmyxh4t2NmWs_alN0W5out5H2dg8eVB8fpm97sHnJyGQ&oe=653A4318,https://www.facebook.com/freshiogelato/posts/pfbid02YwE1erkuwxY2ET5vt422muQGCcdgadgF3ARJ91HwDbNbRQtsCtv6Xr2CwzovZ57xl?__cft__[0]=AZWF8pMD2zqq2gEzjlv8XRE39NG2YxcotJ8Mwwvl2n3k0V36MLxwOz2nJMzmz-m0e3QoObFRFDImw86W9uXYvyS-uBAxPciLaK9_MmRIFxBXOMsAWXEipNDFUFga796nISDczc4X1EVZK-lDSzfNHYrmRt02nq0JtE8k5GSmNJ_Bcy_c1SrOYtifyRLPP54BaUAJ9cwIq3Rl0FGY_qfCKR9X&__tn__=%2CO%2CP-R
pfbid0gAV39MiyEJVNx8iEeRHmNwmDxM87teaUUpoRYs9xmFpbZdqAfL1nTqKbgxwnJhLhl,Freshio Gelato,0,1,0,0,0,0,0,0,1,0,#freshiogelato #nationaldaysingapore,2022-08-09T00:00:00,['blob:https://www.facebook.com/322ec8d7-3a67-4acd-8d95-2d39ab0d9f1e'],https://scontent.fsin16-1.fna.fbcdn.net/v/t15.5256-10/296965136_1925982797592727_8951583928188987682_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=1a7029&_nc_ohc=eunuX1F4658AX8Cj8j8&_nc_ht=scontent.fsin16-1.fna&oh=00_AfDRMLv1DIipQYgoiHt_Ebt79d2pnt7BLCb1KU6dYPKi3Q&oe=65396836,https://www.facebook.com/freshiogelato/posts/pfbid0gAV39MiyEJVNx8iEeRHmNwmDxM87teaUUpoRYs9xmFpbZdqAfL1nTqKbgxwnJhLhl?__cft__[0]=AZWUKcmEeLI4laVsWbtKe_OSxUOEpe8ROsi0CsQA2POu6q_OyAy4OcieSpdZq0aP5l7O95etJ2MH2YHoWeDKtwumUj_y9w9VZHLsk0iKpymvuDsPpN7ziod5npXI-Y0pS8qXyeJrkBo7XiHzxsQPaCECYKkXOOPeFLWa5J4wfCzyK8f5Scb-X-JSw1nErWDlE520OA8Hro0DbkBXj9Mk_8Yd6PSe7HxisBO1ZzicJJVLYQ&__tn__=%2CO%2CP-R
pfbid0QY9bpBYErJtvkMQhypo48nqcMrxokULgGZvPpv6FLsynhjwjGLj22NUMscPtSRPFl,Freshio Gelato,0,0,1,0,0,0,0,0,1,0,,2022-08-04T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/240511121_2990489691270141_2369407848795446762_n.jpg?stp=c0.7.526.275a_dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=6L3qpTf7MIYAX9JuoKx&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBRfk4_Zl85ic6P8VSBZt73B8Wntt0Hc2ouVnjvVkyr3A&oe=653A13EF,https://www.facebook.com/freshiogelato/posts/pfbid0QY9bpBYErJtvkMQhypo48nqcMrxokULgGZvPpv6FLsynhjwjGLj22NUMscPtSRPFl?__cft__[0]=AZVlvyB9cPgMhY43N5xnTFOugoQA3IQ75iYUavTih1miicp57HSeHJ3sG9G64Xl7GIz0TjoBf_jlhUqLLxRdFfo8xCDblmL9NxxZ9EptX8z-2SKl-zFqeLd1flS31jqZDJjfRvJSbjP0cf1V3MZsPdzsNFwOUD61gm7X-5rIi6JAisi5FfWoLPfpctK8sILvHnDj5trJ3JPOAoxjfYfVUG3a&__tn__=%2CO%2CP-R
